Method 1: RAG-Fusion,,,,,,,,,,,,,,,,,,
,question,category,retrieval_avg_similarity,retrieval_max_similarity,retrieval_min_similarity,retrieval_std_similarity,retrieval_num_docs,retrieval_diversity,keyword_coverage,length_word_count,length_char_count,length_sentence_count,hallucination_has_uncertainty,hallucination_has_hedging,hallucination_uncertainty_count,context_utilization,Query time (s),Successful?
,What are the common career paths after graduating from the information security programme?,career,0.532259215926781,0.5791209380512262,0.4316481734047017,0.0498555052320558,8,0.2937979240931984,,318,2497,26,TRUE,TRUE,1,0.1431159420289855,29.93,Yes
,How do these career paths differ in terms of salary and employability?,career,0.4563475773402669,0.49694623427786,0.3667241671346773,0.0398546405161583,8,0.3591323329034581,,226,1856,16,FALSE,TRUE,0,0.1538461538461538,41.33,No
,What should I do during my studies to increase my employability in these career paths?,career,0.5291926454784249,0.5679286974770824,0.4874137273689786,0.0272211223212388,8,0.3750622424026318,,471,3569,38,FALSE,TRUE,0,0.228310502283105,39.01,Yes
,What are the common salary ranges for entry-level engineering jobs in Hong Kong after I graduate from the IAIE programme?,career,0.5750260593033756,0.6343332209280407,0.4489732431489639,0.0593677262775722,8,0.3367222705386373,,80,567,4,FALSE,TRUE,0,0.068041237113402,14.92,No
,"How do salaries differ between roles in hardware design, power systems, and software/embedded systems locally?",career,0.4863708014625232,0.5670922645130552,0.3965449972424283,0.0573693154245917,8,0.3493125345327917,,120,868,13,TRUE,TRUE,1,0.0872340425531914,20.44,No
,"What certifications, internships, or portfolio items will make me most competitive for the higher-paying roles?",career,0.50002349296944,0.5520950641895952,0.4591451742273051,0.0352121030511791,8,0.3978053428961362,,316,3022,43,FALSE,TRUE,0,0.1273996509598604,38.29,Yes
,Can you provide examples of job roles that electrical engineering graduates typically take on in the tech industry?,career,0.5548246045663421,0.6199983163447138,0.4287320006705435,0.0580778913524089,8,0.2375128398632159,,104,791,3,TRUE,TRUE,1,0.0778097982708933,17.1,Yes
,How does demand for these roles vary across these sectors?,career,0.4622104874166924,0.510509975133501,0.4115680329404939,0.038547917113536,8,0.2447269172679009,,409,3238,32,FALSE,TRUE,0,0.1760391198044009,32.95,Yes
,Are there any emerging fields or technologies in Hong Kong that I should be aware of for future career opportunities?,career,0.6060183589687939,0.6550422209370944,0.5216764203672454,0.0371081993147132,8,0.2937932837583189,,359,2613,17,FALSE,TRUE,0,0.2454545454545454,33.68,Yes
,What facilities are available at PolyU that can support my studies and revision?,Facilities,0.6293954072465419,0.678305535513608,0.5644088935682978,0.0389828225831817,8,0.3550693838266412,,219,1518,16,FALSE,TRUE,0,0.1804733727810651,21.73,Yes
,Are there any dedicated spaces for engineering students?,Facilities,0.5385965409597837,0.5917888754522596,0.454796397250908,0.0388689255735864,8,0.2723058924326008,,73,517,6,FALSE,TRUE,0,0.0560224089635854,15.63,No
,How can students book or reserve these spaces for their academic or extracurricular activities?,Facilities,0.5687676572566015,0.6464694393751439,0.5093822305642833,0.0528378982513242,8,0.3856618133600605,,112,896,16,FALSE,FALSE,0,0.1676300578034682,25.38,Yes
,How can I apply for a residential hall at the PolyU?,Facilities,0.6353811659920938,0.7164338099515026,0.5270362407952394,0.0618942858216343,8,0.3257990767405253,,221,1580,16,TRUE,TRUE,1,0.211864406779661,28.08,Yes
,What are the eligibility criteria for applying for it?,Facilities,0.5051290790740046,0.5519170667832034,0.4388755734446,0.034763016719697,8,0.2873820482059889,,49,460,5,FALSE,FALSE,0,0.0816901408450704,14.14,Yes
,Are there any important deadlines or documents required for that application?,Facilities,0.5584698923736577,0.6103792427211391,0.4572693053566341,0.0517962767268155,8,0.3201094860135604,,112,800,11,FALSE,TRUE,0,0.1159793814432989,19.09,Yes
,What sports facilities are available for students on the PolyU campus?,Facilities,0.6538539703816952,0.6877720407617982,0.583397723269475,0.0332232320585323,8,0.2782629687820531,,232,1651,22,TRUE,TRUE,1,0.1828193832599119,18.07,Yes
,"How do I sign up for sports skill training courses at the university, then? Is there any fitness class available at the university?",Facilities,0.6346088372144821,0.6868553156361776,0.5107948020309211,0.0540910302562756,8,0.2679396313178959,,249,2089,27,TRUE,FALSE,1,0.2849604221635884,33.1,Yes
,What are the elective subjects that focus on deep learning or machine learning in the AIIE programme?,Programme,0.5840000379605392,0.7099402426359137,0.4222555268877747,0.0805582336639832,8,0.3296541694529094,,162,1243,10,FALSE,FALSE,0,0.1527777777777778,22.17,Yes
,Will you recommend that I take these elective subjects?,Programme,0.5882216614479389,0.632793225378069,0.4890282095451592,0.0503394683328137,8,0.2558842662494983,,86,569,3,FALSE,TRUE,0,0.0482758620689655,17.41,No
,Are there any recommended sequences for taking these courses?,Programme,0.5171002981528097,0.5614455425927245,0.4238434221981571,0.0441531510233838,8,0.2999814364966845,,157,1106,8,TRUE,TRUE,2,0.1504065040650406,21.11,Yes
,"What technical elective subjects are available to IAIE students, including those specializing in optics or cybersecurity?",Programme,0.6125959210418292,0.695805859676799,0.530875668486004,0.0546939845549856,8,0.2146188373092975,,355,2772,34,TRUE,TRUE,1,0.374015748031496,35.68,Yes
,How can choosing certain electives influence my career options after graduation?,Programme,0.5164825384663971,0.5752319070271144,0.4001629205015789,0.0505669349665648,8,0.3110142551587219,,131,980,11,FALSE,FALSE,0,0.0821917808219178,22.35,Yes
,What advice would you give me when choosing these elective subjects?,Programme,0.5425101176175564,0.6075956718725515,0.5071710518580265,0.0389898290339375,8,0.397292947134145,,98,750,12,FALSE,FALSE,0,0.0814663951120163,23.18,Yes
,Does the IAIE programme include any FYP?,Programme,0.5094154798345087,0.6110165745727609,0.4242916056492049,0.0541265509908435,8,0.3190130732605218,,118,894,9,FALSE,FALSE,0,0.1675257731958762,19.22,Yes
,"How are these projects typically structured, and what kind of support do students receive?",Programme,0.5680136079383034,0.6136335337563931,0.5025738096401662,0.0333285964447872,8,0.3000577418368821,,117,948,15,FALSE,FALSE,0,0.1595744680851064,21.81,Yes
,"Can students propose their own project topics, possibly in collaboration with industry partners?",Programme,0.563418067605082,0.6221294573872741,0.4611999487337686,0.0645050675482705,8,0.3260353781379604,,103,798,9,TRUE,FALSE,1,0.0884615384615384,18.82,Yes
,What should I do if I failed a subject in the EE programme?,Academic,0.6338514998010922,0.7184113359485852,0.503629399446166,0.0726736930177429,8,0.3028881761797237,,105,663,6,TRUE,FALSE,1,0.1309090909090909,16.4,Yes
,What resources are available if I need help with academic planning or overcoming academic difficulties?,Academic,0.6110347120147464,0.663614462061509,0.5558008506947817,0.0393549360746335,8,0.3377122988071139,,271,1935,12,FALSE,FALSE,0,0.1484018264840182,21.25,Yes
,How often should I meet with you to discuss my study progress?,Academic,0.5745906932143724,0.6092974271527529,0.5238506460579342,0.0318032927213409,8,0.329715079095771,,80,526,5,TRUE,FALSE,1,0.0984455958549222,15.03,Yes
,What are the policies on subject retakes for the IAIE programme?,Academic,0.6039145556007077,0.6685823536639522,0.4297379662834719,0.0706100396939693,8,0.2501639946892146,,172,1227,12,TRUE,FALSE,1,0.3516949152542373,23.2,Yes
,How can I seek support if I am placed on academic probation?,Academic,0.5522431908951427,0.6398862939689904,0.4833058986174703,0.0567614627033821,8,0.3456774279083479,,195,1721,23,TRUE,FALSE,1,0.1743929359823399,20.15,Yes
,What should I do then to improve their academic performance so that I won’t be deregistered?,Academic,0.5670673358821926,0.6589247544930416,0.5123984265417337,0.0549522835719295,8,0.3759032632527644,,322,2595,41,FALSE,TRUE,0,0.1845841784989858,31.05,Yes
,How does credit transfer or exemption work at PolyU?,Academic,0.6520827213813458,0.7176589260294218,0.6007582867748478,0.0476883875320284,8,0.29123587296717,,315,2349,28,TRUE,FALSE,1,0.2864450127877238,36.31,Yes
,What documentation is required to apply for credit transfer in the department?,Academic,0.5964988804161946,0.6272279634402929,0.5655935898577518,0.0214597989968218,8,0.1604802886509574,,214,1448,11,TRUE,FALSE,1,0.1915887850467289,30.72,Yes
,"How long does the credit transfer evaluation process typically take, and whom can students contact for updates?",Academic,0.6581518015521444,0.6886263726919678,0.6243684699007309,0.0231707950525198,8,0.1842795054570388,,46,318,3,FALSE,FALSE,0,0.0516431924882629,22.63,Yes
,Does the PolyU offer any internships or industrial opportunities?,Internship,0.5779725087293175,0.6649195885626611,0.5157316648258774,0.057922153515506,8,0.3530465565768576,,115,927,9,TRUE,FALSE,1,0.1282608695652174,16.89,Yes
,"How are internship placements arranged? Is it arranged by the university, or do I find them manually?",Internship,0.5962141245936754,0.6134995219586801,0.5736588928040756,0.0107263993371744,8,0.264924134845527,,269,2227,27,FALSE,FALSE,0,0.2189054726368159,29.76,Yes
,Do these internship opportunities count towards WIE credits?,Internship,0.5688861392948719,0.6595138216832727,0.4935053809133977,0.0470616031567112,8,0.2748744491462681,,255,1901,23,FALSE,FALSE,0,0.2240896358543417,40.6,Yes
,What types of companies or organizations in Hong Kong typically offer internships for IAIE graduates?,Internship,0.5503112919287776,0.612774118896063,0.4762488066007739,0.0524461892393611,8,0.3380228681433453,,110,1169,12,TRUE,TRUE,1,0.1322645290581162,27.33,No
,Are there any partnerships between the university and local industries to facilitate internship placements?,Internship,0.5422009374189793,0.6567265188498487,0.4217848049299085,0.0735648888385385,8,0.3396998477959281,,136,1251,17,FALSE,FALSE,0,0.1361607142857142,39.44,Yes
,How can I prepare for my interview to increase my chances of securing such competitive internships?,Internship,0.5018270704551482,0.5545375585709705,0.4433894746106057,0.0387666098401212,8,0.3819409933524686,,296,2411,36,FALSE,FALSE,0,0.119047619047619,39.75,Yes
,"What support does the PolyU provide during the internship period, such as progress monitoring?",Internship,0.6488246461898681,0.6686845223618705,0.6155308158242875,0.019936728778061,8,0.2920691617378584,,57,415,3,TRUE,FALSE,1,0.0587044534412955,18.32,No
,How are internships assessed or credited towards the programme requirements?,Internship,0.6158655553619784,0.671893278011204,0.5556570202248515,0.0404362690806977,8,0.3105396785428221,,223,1735,19,TRUE,TRUE,1,0.1834625322997416,22.78,No
,Can students share their internship experiences or network with alumni who have completed similar internships?,Internship,0.5541355269316622,0.5944328966633757,0.4776463818166195,0.0362692478893384,8,0.3055228359589087,,135,1059,9,TRUE,FALSE,1,0.1363636363636363,13.11,Yes
,,,,,,,,,,,,,,,,,,
Method 2: ColBERT,,,,,,,,,,,,,,,,,,
,question,category,retrieval_avg_similarity,retrieval_max_similarity,retrieval_min_similarity,retrieval_std_similarity,retrieval_num_docs,retrieval_diversity,keyword_coverage,length_word_count,length_char_count,length_sentence_count,hallucination_has_uncertainty,hallucination_has_hedging,hallucination_uncertainty_count,context_utilization,Query time (s),Successful?
,What are the common career paths after graduating from the information security programme?,career,0.5856246152379744,0.6233224870306303,0.5144607644052166,0.0358672529053724,8,0.1955888503277769,,137,1141,21,FALSE,FALSE,0,0.1469648562300319,18.63,Yes
,How do these career paths differ in terms of salary and employability?,career,0.4265066179112713,0.4530469285316798,0.3744171313146331,0.0224829674389814,8,0.1982151450835888,,132,946,7,TRUE,TRUE,1,0.0359281437125748,12.2,Yes
,What should I do during my studies to increase my employability in these career paths?,career,0.5713704863551389,0.5952616918083307,0.551953633144384,0.0127873100194762,8,0.2226844070264543,,427,3278,41,FALSE,FALSE,0,0.1877551020408163,29.7,Yes
,What are the common salary ranges for entry-level engineering jobs in Hong Kong after I graduate from the IAIE programme?,career,0.6073071665072437,0.6343332209280407,0.5689472168060518,0.0220830020580098,8,0.2833556126622802,,158,1091,10,TRUE,TRUE,1,0.1135802469135802,14.4,No
,"How do salaries differ between roles in hardware design, power systems, and software/embedded systems locally?",career,0.5360328201928604,0.5670922645130552,0.5218746000819784,0.0127611980419706,8,0.1842345362612168,,149,975,8,TRUE,TRUE,1,0.0668693009118541,19.2,No
,"What certifications, internships, or portfolio items will make me most competitive for the higher-paying roles?",career,0.477746826777756,0.4949095097166298,0.4518596478377576,0.0166919082852956,8,0.1900741139071923,,236,1792,12,FALSE,TRUE,0,0.1981566820276497,17.72,No
,Can you provide examples of job roles that electrical engineering graduates typically take on in the tech industry?,career,0.5778487152955764,0.6199983163447138,0.5439913665313507,0.0259242707052264,8,0.1586378148054059,,149,1213,8,FALSE,TRUE,0,0.098976109215017,19.78,Yes
,How does demand for these roles vary across these sectors?,career,0.4786587601933646,0.510509975133501,0.4565345794514625,0.0180266172824331,8,0.2443663547084915,,242,1928,18,FALSE,TRUE,0,0.1555555555555555,24.34,Yes
,Are there any emerging fields or technologies in Hong Kong that I should be aware of for future career opportunities?,career,0.6214340838917972,0.6550422209370944,0.6053539101493727,0.0149178867252533,8,0.2306912149853517,,317,2297,18,TRUE,TRUE,1,0.1739130434782608,26.33,Yes
,What facilities are available at PolyU that can support my studies and revision?,Facilities,0.6449367010478615,0.6879555285878155,0.5644088935682978,0.041007905558912,8,0.3171682934071255,,280,2264,31,FALSE,TRUE,0,0.1822125813449024,25.08,Yes
